Border,Date,Measure,Value,Average
US-Mexico Border,03/01/2018 12:00:00 AM,Personal Vehicle Passengers,12693029,14145512
US-Mexico Border,03/01/2018 12:00:00 AM,Personal Vehicles,6692650,6543789
US-Mexico Border,03/01/2018 12:00:00 AM,Pedestrians,4177442,3687178
US-Canada Border,03/01/2018 12:00:00 AM,Personal Vehicle Passengers,4060908,5578164
US-Canada Border,03/01/2018 12:00:00 AM,Personal Vehicles,2114284,2658706
US-Mexico Border,03/01/2018 12:00:00 AM,Trucks,534661,392603
US-Canada Border,03/01/2018 12:00:00 AM,Trucks,499765,510914
US-Mexico Border,03/01/2018 12:00:00 AM,Truck Containers Full,392261,246810
US-Canada Border,03/01/2018 12:00:00 AM,Truck Containers Full,365531,382550
US-Canada Border,03/01/2018 12:00:00 AM,Rail Containers Full,156833,106963
US-Mexico Border,03/01/2018 12:00:00 AM,Bus Passengers,153794,247833
US-Mexico Border,03/01/2018 12:00:00 AM,Truck Containers Empty,147407,140785
US-Canada Border,03/01/2018 12:00:00 AM,Truck Containers Empty,144344,85798
US-Canada Border,03/01/2018 12:00:00 AM,Bus Passengers,108766,272167
US-Canada Border,03/01/2018 12:00:00 AM,Rail Containers Empty,69369,43359
US-Mexico Border,03/01/2018 12:00:00 AM,Rail Containers Full,46011,27403
US-Mexico Border,03/01/2018 12:00:00 AM,Rail Containers Empty,45740,30620
US-Canada Border,03/01/2018 12:00:00 AM,Pedestrians,20713,46769
US-Canada Border,03/01/2018 12:00:00 AM,Train Passengers,12865,20966
US-Mexico Border,03/01/2018 12:00:00 AM,Buses,12356,19800
US-Canada Border,03/01/2018 12:00:00 AM,Buses,3766,11210
US-Canada Border,03/01/2018 12:00:00 AM,Trains,1954,2450
US-Mexico Border,03/01/2018 12:00:00 AM,Trains,916,711
US-Mexico Border,03/01/2018 12:00:00 AM,Train Passengers,823,1039
US-Mexico Border,02/01/2018 12:00:00 AM,Personal Vehicle Passengers,10888482,14157803
US-Mexico Border,02/01/2018 12:00:00 AM,Personal Vehicles,5903899,6546204
US-Mexico Border,02/01/2018 12:00:00 AM,Pedestrians,3526195,3687786
US-Canada Border,02/01/2018 12:00:00 AM,Personal Vehicle Passengers,3022028,5587810
US-Canada Border,02/01/2018 12:00:00 AM,Personal Vehicles,1665863,2662452
US-Mexico Border,02/01/2018 12:00:00 AM,Trucks,491399,392230
US-Canada Border,02/01/2018 12:00:00 AM,Trucks,447891,511152
US-Mexico Border,02/01/2018 12:00:00 AM,Truck Containers Full,351568,246415
US-Canada Border,02/01/2018 12:00:00 AM,Truck Containers Full,326086,382763
US-Canada Border,02/01/2018 12:00:00 AM,Rail Containers Full,136507,106851
US-Mexico Border,02/01/2018 12:00:00 AM,Truck Containers Empty,136474,140801
US-Canada Border,02/01/2018 12:00:00 AM,Truck Containers Empty,131338,85626
US-Mexico Border,02/01/2018 12:00:00 AM,Bus Passengers,106763,248366
US-Canada Border,02/01/2018 12:00:00 AM,Bus Passengers,85214,272872
US-Canada Border,02/01/2018 12:00:00 AM,Rail Containers Empty,57667,43305
US-Mexico Border,02/01/2018 12:00:00 AM,Rail Containers Empty,41810,30577
US-Mexico Border,02/01/2018 12:00:00 AM,Rail Containers Full,39167,27358
US-Canada Border,02/01/2018 12:00:00 AM,Pedestrians,12921,46896
US-Mexico Border,02/01/2018 12:00:00 AM,Buses,11504,19831
US-Canada Border,02/01/2018 12:00:00 AM,Train Passengers,8428,21013
US-Canada Border,02/01/2018 12:00:00 AM,Buses,4253,11236
US-Canada Border,02/01/2018 12:00:00 AM,Trains,1654,2453
US-Mexico Border,02/01/2018 12:00:00 AM,Trains,827,711
US-Mexico Border,02/01/2018 12:00:00 AM,Train Passengers,688,1040
US-Mexico Border,01/01/2018 12:00:00 AM,Personal Vehicle Passengers,12138597,14165452
US-Mexico Border,01/01/2018 12:00:00 AM,Personal Vehicles,6406861,6546732
US-Mexico Border,01/01/2018 12:00:00 AM,Pedestrians,3731985,3687618
US-Canada Border,01/01/2018 12:00:00 AM,Personal Vehicle Passengers,3129055,5597123
US-Canada Border,01/01/2018 12:00:00 AM,Personal Vehicles,1749770,2665909
US-Mexico Border,01/01/2018 12:00:00 AM,Trucks,517144,391757
US-Canada Border,01/01/2018 12:00:00 AM,Trucks,475114,511288
US-Mexico Border,01/01/2018 12:00:00 AM,Truck Containers Full,358320,245991
US-Canada Border,01/01/2018 12:00:00 AM,Truck Containers Full,350551,382885
US-Mexico Border,01/01/2018 12:00:00 AM,Bus Passengers,158723,248705
US-Mexico Border,01/01/2018 12:00:00 AM,Truck Containers Empty,155604,140745
US-Canada Border,01/01/2018 12:00:00 AM,Rail Containers Full,147156,106698
US-Canada Border,01/01/2018 12:00:00 AM,Truck Containers Empty,134155,85443
US-Canada Border,01/01/2018 12:00:00 AM,Bus Passengers,77289,273613
US-Canada Border,01/01/2018 12:00:00 AM,Rail Containers Empty,58613,43247
US-Mexico Border,01/01/2018 12:00:00 AM,Rail Containers Empty,45826,30520
US-Mexico Border,01/01/2018 12:00:00 AM,Rail Containers Full,36140,27325
US-Mexico Border,01/01/2018 12:00:00 AM,Buses,13411,19856
US-Canada Border,01/01/2018 12:00:00 AM,Pedestrians,12552,47027
US-Canada Border,01/01/2018 12:00:00 AM,Train Passengers,10761,21052
US-Canada Border,01/01/2018 12:00:00 AM,Buses,4228,11263
US-Canada Border,01/01/2018 12:00:00 AM,Trains,1822,2455
US-Mexico Border,01/01/2018 12:00:00 AM,Trains,899,710
